sido,sgg,population,lat,long
서울,서울,9565990,37.5665350,126.9779692
부산,부산,3364358,35.1795543,129.0756416
대구,대구,2397646,35.8714354,128.6014450
인천,인천,2936367,37.4562557,126.7052062
광주,광주,1442647,35.1595454,126.8526012
대전,대전,1456107,36.3504119,127.3845475
울산,울산,1126369,35.5383773,129.3113596
세종,세종,362995,35.1523240,126.8523791
경기도,수원,1184210,37.2635727,127.0286009
경기도,성남,931654,37.4449168,127.1388684
경기도,의정부,461523,37.7380980,127.0336819
경기도,안양,549903,37.3942527,126.9568209
경기도,부천,810742,37.5034138,126.7660309
경기도,광명,295852,37.4784878,126.8642888
경기도,평택,549901,36.9921075,127.1129451
경기도,동두천,93354,37.9034112,127.0605075
경기도,안산,655115,37.3218778,126.8308848
경기도,고양,1080507,37.6583599,126.8320201
경기도,과천,69276,37.4292460,126.9874451
경기도,구리,194389,37.5943124,127.1295646
경기도,남양주,724183,37.6360028,127.2165279
경기도,오산,230705,37.1498096,127.0772212
경기도,시흥,511314,37.3798877,126.8031025
경기도,군포,270584,37.3616703,126.9351741
경기도,의왕,162215,37.3447010,126.9683104
경기도,하남,305908,37.5392646,127.2148919
경기도,용인,1077826,37.2410864,127.1775537
경기도,파주,472260,37.7598688,126.7801781
경기도,이천,220904,37.2719952,127.4348221
경기도,안성,189060,37.0079695,127.2796786
경기도,김포,483642,37.6152464,126.7156325
경기도,화성,870361,37.1994932,126.8311887
경기도,광주,384714,37.4171413,127.2561413
경기도,양주,235394,37.7852875,127.0458453
경기도,포천,147597,37.8949148,127.2003551
경기도,여주,112177,37.2980237,127.6371628
경기도,연천,43042,38.0964438,127.0748335
경기도,가평,62364,37.8315403,127.5098827
경기도,양평,120012,37.4912195,127.4875607
강원도,춘천,282511,37.8813153,127.7299707
강원도,원주,354978,37.3422186,127.9201621
강원도,강릉,212784,37.7518530,128.8760574
강원도,동해,89999,37.5247192,129.1142915
강원도,태백,41419,37.1640654,128.9855649
강원도,속초,82254,38.2070148,128.5918489
강원도,삼척,64073,37.4498683,129.1652059
강원도,홍천,68619,37.6969518,127.8886827
강원도,횡성,46614,37.4917566,127.9849295
강원도,영월,38057,37.1836370,128.4617535
강원도,평창,41109,37.3704740,128.3899769
강원도,정선,35952,37.3807549,128.6609505
강원도,철원,43932,38.1466090,127.3132256
강원도,화천,24408,38.1056484,127.7080492
강원도,양구,22027,38.1100701,127.9898825
강원도,인제,31835,38.0694675,128.1706991
강원도,고성,26924,38.3801292,128.4674385
강원도,양양,28035,38.0753925,128.6188503
충청북도,청주,847392,36.6424341,127.4890319
충청북도,충주,209638,36.9910113,127.9259497
충청북도,제천,132313,37.1325821,128.1909481
충청북도,보은,32096,36.4894573,127.7294827
충청북도,옥천,50282,36.3063646,127.5712809
충청북도,영동,46316,36.1750231,127.7834302
충청북도,증평,36499,36.7855019,127.5816556
충청북도,진천,84746,36.8553798,127.4361117
충청북도,괴산,37337,36.8156690,127.7865791
충청북도,음성,92232,36.9396792,127.6905018
충청북도,단양,28652,36.9845473,128.3655186
충청남도,당진,166754,36.8936109,126.6283278
충청남도,천안,657503,36.8151290,127.1138939
충청남도,공주,103640,36.4465346,127.1191534
충청남도,보령,98993,36.3331629,126.6129441
충청남도,아산,320340,36.7897960,127.0018494
충청남도,서산,176090,36.7844993,126.4503169
충청남도,논산,115305,36.1870656,127.0987453
충청남도,계룡,43168,36.2745577,127.2485896
충청남도,금산,50890,36.1086928,127.4880712
충청남도,부여,64361,36.2754406,126.9101780
충청남도,서천,51153,36.0803312,126.6913277
충청남도,청양,30548,36.4588326,126.8022116
충청남도,홍성,99440,36.6012300,126.6607764
충청남도,예산,77348,36.6826123,126.8483951
충청남도,태안,61867,36.7456421,126.2980528
전라북도,전주,657428,35.8242238,127.1479532
전라북도,군산,266389,35.9676772,126.7366293
전라북도,익산,280072,35.9482858,126.9575991
전라북도,정읍,107422,35.5698855,126.8558955
전라북도,남원,80032,35.4163570,127.3904877
전라북도,김제,81462,35.8036079,126.8808872
전라북도,완주,91024,35.8912750,127.2538950
전라북도,진안,25181,35.7917297,127.4248356
전라북도,무주,23875,36.0068191,127.6607805
전라북도,장수,21880,35.6472767,127.5211363
전라북도,임실,27009,35.6110549,127.2826599
전라북도,순창,27283,35.3744136,127.1375968
전라북도,고창,53869,35.4358216,126.7020806
전라북도,부안,51419,35.7315661,126.7334651
전라남도,목포,220794,34.8118351,126.3921664
전라남도,여수,278481,34.7603737,127.6622221
전라남도,순천,281816,34.9506370,127.4872135
전라남도,나주,116513,35.0160601,126.7107572
전라남도,광양,150591,34.9406968,127.6958882
전라남도,담양,46522,35.3211394,126.9881673
전라남도,곡성,27916,35.2819553,127.2919175
전라남도,구례,25255,35.2024947,127.4626534
전라남도,고흥,63374,34.6112219,127.2849780
전라남도,보성,39838,34.7714563,127.0798944
전라남도,화순,62153,35.0645029,126.9864799
전라남도,장흥,37028,34.6816856,126.9069278
전라남도,강진,34248,34.6420774,126.7672610
전라남도,해남,68055,34.5732516,126.5989274
전라남도,영암,53290,34.8001685,126.6967918
전라남도,무안,88660,34.9904542,126.4816856
전라남도,함평,31526,35.0659399,126.5165524
전라남도,영광,52487,35.2771719,126.5119874
전라남도,장성,43915,35.3018333,126.7848541
전라남도,완도,49404,34.3110596,126.7550541
전라남도,진도,30368,34.4868712,126.2634853
전라남도,신안,38687,34.8273320,126.1010740
경상북도,포항,503634,36.0190178,129.3434808
경상북도,경주,252602,35.8561719,129.2247477
경상북도,김천,140293,36.1398393,128.1135947
경상북도,안동,157805,36.5683543,128.7293570
경상북도,구미,414284,36.1194850,128.3445734
경상북도,영주,102440,36.8056858,128.6240551
경상북도,영천,102099,35.9732915,128.9385493
경상북도,상주,96273,36.4109466,128.1590828
경상북도,문경,71409,36.5861480,128.1867972
경상북도,경산,266747,35.8250555,128.7415441
경상북도,군위,22924,36.2428355,128.5727702
경상북도,의성,51099,36.3526576,128.6970053
경상북도,청송,24784,36.4359045,129.0571077
경상북도,영양,16411,36.6666558,129.1124007
경상북도,영덕,35779,36.4150799,129.3659681
경상북도,청도,41847,35.6472706,128.7339107
경상북도,고령,30927,35.7261415,128.2629530
경상북도,성주,42964,35.9190079,128.2829738
경상북도,칠곡,114016,35.9953059,128.4015434
경상북도,예천,55784,36.6577004,128.4528808
경상북도,봉화,31084,36.8930933,128.7323752
경상북도,울진,48206,36.9930661,129.4004195
경상북도,울릉,8990,37.4844171,130.9058002
경상남도,창원,1034527,35.2279868,128.6818143
경상남도,진주,347204,35.1799817,128.1076213
경상남도,통영,126413,34.8544227,128.4331820
경상남도,사천,110414,35.0037788,128.0641850
경상남도,김해,539841,35.2285451,128.8893517
경상남도,밀양,104070,35.5037598,128.7464415
경상남도,거제,243200,34.8806427,128.6210824
경상남도,양산,353686,35.3350072,129.0371689
경상남도,의령,26526,35.3221896,128.2616580
경상남도,함안,63157,35.2725591,128.4064797
경상남도,창녕,60754,35.5445563,128.4922143
경상남도,고성,50933,34.9731490,128.3222456
경상남도,남해,42650,34.8376721,127.8924234
경상남도,하동,44065,35.0672108,127.7512687
경상남도,산청,34587,35.4155885,127.8734981
경상남도,함양,38793,35.5204614,127.7251763
경상남도,거창,61555,35.6867229,127.9095155
경상남도,합천,43465,35.5665758,128.1657995
경상남도,마산,368899,35.2135160,128.5814330
경상남도,진해,193430,35.1330251,128.7100381
제주도,제주,492627,33.4996213,126.5311884
제주도,서귀포,182666,33.2541205,126.5600760
