sido,sgg,population
서울,서울,9565990
부산,부산,3364358
대구,대구,2397646
인천,인천,2936367
광주,광주,1442647
대전,대전,1456107
울산,울산,1126369
세종,세종,362995
경기도,수원,1184210
경기도,성남,931654
경기도,의정부,461523
경기도,안양,549903
경기도,부천,810742
경기도,광명,295852
경기도,평택,549901
경기도,동두천,93354
경기도,안산,655115
경기도,고양,1080507
경기도,과천,69276
경기도,구리,194389
경기도,남양주,724183
경기도,오산,230705
경기도,시흥,511314
경기도,군포,270584
경기도,의왕,162215
경기도,하남,305908
경기도,용인,1077826
경기도,파주,472260
경기도,이천,220904
경기도,안성,189060
경기도,김포,483642
경기도,화성,870361
경기도,광주,384714
경기도,양주,235394
경기도,포천,147597
경기도,여주,112177
경기도,연천,43042
경기도,가평,62364
경기도,양평,120012
강원도,춘천,282511
강원도,원주,354978
강원도,강릉,212784
강원도,동해,89999
강원도,태백,41419
강원도,속초,82254
강원도,삼척,64073
강원도,홍천,68619
강원도,횡성,46614
강원도,영월,38057
강원도,평창,41109
강원도,정선,35952
강원도,철원,43932
강원도,화천,24408
강원도,양구,22027
강원도,인제,31835
강원도,고성,26924
강원도,양양,28035
충청북도,청주,847392
충청북도,충주,209638
충청북도,제천,132313
충청북도,보은,32096
충청북도,옥천,50282
충청북도,영동,46316
충청북도,증평,36499
충청북도,진천,84746
충청북도,괴산,37337
충청북도,음성,92232
충청북도,단양,28652
충청남도,당진,166754
충청남도,천안,657503
충청남도,공주,103640
충청남도,보령,98993
충청남도,아산,320340
충청남도,서산,176090
충청남도,논산,115305
충청남도,계룡,43168
충청남도,금산,50890
충청남도,부여,64361
충청남도,서천,51153
충청남도,청양,30548
충청남도,홍성,99440
충청남도,예산,77348
충청남도,태안,61867
전라북도,전주,657428
전라북도,군산,266389
전라북도,익산,280072
전라북도,정읍,107422
전라북도,남원,80032
전라북도,김제,81462
전라북도,완주,91024
전라북도,진안,25181
전라북도,무주,23875
전라북도,장수,21880
전라북도,임실,27009
전라북도,순창,27283
전라북도,고창,53869
전라북도,부안,51419
전라남도,목포,220794
전라남도,여수,278481
전라남도,순천,281816
전라남도,나주,116513
전라남도,광양,150591
전라남도,담양,46522
전라남도,곡성,27916
전라남도,구례,25255
전라남도,고흥,63374
전라남도,보성,39838
전라남도,화순,62153
전라남도,장흥,37028
전라남도,강진,34248
전라남도,해남,68055
전라남도,영암,53290
전라남도,무안,88660
전라남도,함평,31526
전라남도,영광,52487
전라남도,장성,43915
전라남도,완도,49404
전라남도,진도,30368
전라남도,신안,38687
경상북도,포항,503634
경상북도,경주,252602
경상북도,김천,140293
경상북도,안동,157805
경상북도,구미,414284
경상북도,영주,102440
경상북도,영천,102099
경상북도,상주,96273
경상북도,문경,71409
경상북도,경산,266747
경상북도,군위,22924
경상북도,의성,51099
경상북도,청송,24784
경상북도,영양,16411
경상북도,영덕,35779
경상북도,청도,41847
경상북도,고령,30927
경상북도,성주,42964
경상북도,칠곡,114016
경상북도,예천,55784
경상북도,봉화,31084
경상북도,울진,48206
경상북도,울릉,8990
경상남도,창원,1034527
경상남도,진주,347204
경상남도,통영,126413
경상남도,사천,110414
경상남도,김해,539841
경상남도,밀양,104070
경상남도,거제,243200
경상남도,양산,353686
경상남도,의령,26526
경상남도,함안,63157
경상남도,창녕,60754
경상남도,고성,50933
경상남도,남해,42650
경상남도,하동,44065
경상남도,산청,34587
경상남도,함양,38793
경상남도,거창,61555
경상남도,합천,43465
경상남도,마산,368899
경상남도,진해,193430
제주도,제주,492627
제주도,서귀포,182666
